finding,date,file,title,grade,law
041,2026-08-24 19:06,independent_review.py,Require a nonempty textual review summary,INSTANCE,L2
042,2026-08-24 19:26,ci.yml,Run the differential where bcir-opt exists,INSTANCE,L10
043,2026-08-24 19:26,run_malformed_differential.py,Make the duplicate-claim fixture otherwise valid,INSTANCE,L11
044,2026-08-24 19:26,scan_secrets.py,Bound reads of ZIP symlink payloads,INSTANCE,L3
045,2026-08-24 19:26,audit_tool_boundaries.py,Clear process bindings on ordinary reassignment,LOCAL,
046,2026-08-24 19:26,audit_tool_boundaries.py,Audit subprocess helpers that always invoke a shell,INSTANCE,L18
047,2026-08-24 19:26,run_decoder_campaign.py,Scale the timeout to the complete C campaign,LOCAL,
048,2026-08-24 20:12,scan_secrets.py,Read each ZIP symlink through its ZipInfo,INSTANCE,L17
049,2026-08-24 20:12,audit_tool_boundaries.py,Inspect unpacked subprocess keyword arguments,LOCAL,
050,2026-08-24 20:12,audit_tool_boundaries.py,Remove process aliases shadowed by function parameters,LOCAL,
051,2026-08-24 20:12,run_malformed_differential.py,Make the R5 fixture legal under R6,INSTANCE,L11
052,2026-08-24 20:12,audit_tool_boundaries.py,Track string-valued command expressions,LOCAL,
053,2026-08-24 20:12,independent_review.py,Convert all reviewer startup errors into failures,INSTANCE,L1
054,2026-08-24 20:12,run_malformed_differential.py,Do not exempt duplicate claims from compiled verification,INSTANCE,L11
055,2026-08-24 20:12,audit_dependencies.py,Reject unresolved dynamic dependency metadata,NEW-LAW,L4
056,2026-08-25 00:53,BCIRVerifyPass.cpp,Scope claim-ID uniqueness to each BCIR module,INSTANCE,L11
057,2026-08-25 00:53,audit_tool_boundaries.py,Merge conditional assignment states conservatively,LOCAL,
058,2026-08-25 00:53,audit_tool_boundaries.py,Preserve constants captured by nested functions,LOCAL,
059,2026-08-25 00:53,audit_dependencies.py,Handle dynamic dependency declarations on Python 3.10,LOCAL,
060,2026-08-25 00:53,scan_secrets.py,Fail closed when a ZIP symlink target cannot be read,INSTANCE,L1
061,2026-08-25 00:53,audit_tool_boundaries.py,Track every target of chained process-alias assignments,LOCAL,
062,2026-08-25 00:53,independent_review.py,Convert malformed environment commands into structured failures,INSTANCE,L1
063,2026-08-25 00:53,BCIRVerifyPass.cpp,Reject IDs that collide with DenseMap sentinels,NEW-LAW,L20
064,2026-08-25 00:53,audit_tool_boundaries.py,Audit defaults before shadowing function parameters,LOCAL,
065,2026-08-25 00:53,independent_review.py,Reject duplicate keys in reviewer JSON,INSTANCE,L4
066,2026-08-25 01:47,run_decoder_campaign.py,Require canonical decoder seeds to succeed,INSTANCE,L2
067,2026-08-25 01:47,scan_secrets.py,Limit placeholder suppression to the matched credential,INSTANCE,L6
068,2026-08-25 01:47,scan_secrets.py,Reject unreadable archives instead of recording a clean scan,INSTANCE,L1
069,2026-08-25 01:47,scan_secrets.py,Interpret backslashes when checking archive traversal,INSTANCE,L17
070,2026-08-25 01:47,audit_tool_boundaries.py,Restrict process checks to subprocess callables,INSTANCE,L18
071,2026-08-25 01:47,scan_secrets.py,Enforce the archive member cap,INSTANCE,L3
072,2026-08-25 01:47,run_malformed_differential.py,Scope the R5 text check to one claim,INSTANCE,L11
073,2026-08-25 02:13,scan_secrets.py,Inspect TAR link targets for traversal,INSTANCE,L17
074,2026-08-25 02:13,scan_secrets.py,Do not classify unsupported formats as inspectable archives,INSTANCE,L18
075,2026-08-25 02:13,independent_review.py,Convert reviewer timeouts into structured failures,INSTANCE,L1
076,2026-08-25 02:13,run_decoder_campaign.py,Fail CI when the C campaign is unavailable,INSTANCE,L10
077,2026-08-25 02:13,run_decoder_campaign.py,Reject vacuous mutation counts,INSTANCE,L2
078,2026-08-25 02:13,audit_tool_boundaries.py,Include tracked developer utilities in the boundary audit,INSTANCE,L15
079,2026-08-25 02:13,scan_secrets.py,Propagate gitleaks failures to the scan verdict,INSTANCE,L9
080,2026-08-25 18:26,scan_secrets.py,Reject Windows drive-absolute archive paths,INSTANCE,L17
081,2026-08-25 18:26,run_malformed_differential.py,Scope duplicate checks to each BCIR module,INSTANCE,L11
082,2026-08-25 18:26,independent_review.py,Preserve quoted Windows option values,LOCAL,
083,2026-08-25 18:26,audit_dependencies.py,Preserve dots in quoted optional-dependency keys,LOCAL,
084,2026-08-25 18:26,audit_tool_boundaries.py,Honor Python source encoding declarations,INSTANCE,L13
085,2026-08-25 18:39,audit_dependencies.py,Parse escaped TOML strings correctly on Python 3.10,LOCAL,
086,2026-08-25 18:39,run_decoder_campaign.py,Fail campaigns that accept every mutation,INSTANCE,L2
087,2026-08-25 18:39,run_malformed_differential.py,Convert compiled-verifier timeouts into campaign failures,INSTANCE,L1
088,2026-08-25 18:39,run_decoder_campaign.py,Treat an unseeded BCIRQ8 C target as unavailable,INSTANCE,L10
089,2026-08-25 18:57,scan_secrets.py,Do not follow tracked symlinks outside the checkout,INSTANCE,L3
090,2026-08-25 18:57,scan_secrets.py,Recognize common compressed-tar aliases,INSTANCE,L5
091,2026-08-25 18:57,audit_dependencies.py,Reject inline dependency tables in the fallback parser,LOCAL,
092,2026-08-25 18:57,run_malformed_differential.py,Record Python verifier crashes as differential failures,INSTANCE,L1
093,2026-08-25 18:57,ci.yml,Exercise the Python 3.10 fallback in CI,LOCAL,
094,2026-08-25 19:11,audit_tool_boundaries.py,Inspect string commands passed through args=,INSTANCE,L18
095,2026-08-25 19:11,scan_secrets.py,Scan encoded source files instead of treating them as binary,INSTANCE,L5
096,2026-08-25 19:11,scan_secrets.py,Bound decompression while enumerating TAR members,INSTANCE,L3
097,2026-08-25 19:11,run_malformed_differential.py,Reject version-suffixed stock mlir-opt binaries,INSTANCE,L13
098,2026-08-26 15:57,audit_tool_boundaries.py,Avoid dereferencing tracked Python symlinks,INSTANCE,L3
099,2026-08-26 15:57,scan_secrets.py,Fail scans when tracked files are missing,INSTANCE,L15
100,2026-08-26 15:57,audit_tool_boundaries.py,Apply skip-directory checks relative to the checkout,INSTANCE,L15
101,2026-08-26 16:29,scan_secrets.py,Scan unquoted assignment secrets,INSTANCE,L5
102,2026-08-26 16:29,audit_tool_boundaries.py,Audit missing tracked Python files,INSTANCE,L15
103,2026-08-26 16:29,audit_dependencies.py,Ignore brackets inside TOML strings when finding array ends,LOCAL,
104,2026-08-26 16:29,scan_secrets.py,Handle non-UTF-8 tracked filenames,INSTANCE,L1
105,2026-08-26 16:45,scan_secrets.py,Restrict placeholder suppression to whole placeholder values,INSTANCE,L6
106,2026-08-26 16:45,run_decoder_campaign.py,Bound each Python decoder invocation,INSTANCE,L3
107,2026-08-26 16:45,ci.yml,Provision bcir-opt before running the differential,INSTANCE,L10
108,2026-08-26 16:45,scan_secrets.py,Enforce the ZIP member cap before materializing metadata,INSTANCE,L3
109,2026-08-26 16:45,run_decoder_campaign.py,Do not classify I/O failures as malformed-input rejection,INSTANCE,L10
110,2026-08-26 21:44,audit_dependencies.py,Handle quoted segments in dotted TOML keys,LOCAL,
111,2026-08-26 21:44,run_malformed_differential.py,Pair the R1 witness with the Python oracle,INSTANCE,L11
112,2026-08-26 21:44,independent_review.py,Bound reviewer output before capturing it,NEW-LAW,L8
113,2026-08-26 22:00,audit_dependencies.py,Parse whitespace around dotted TOML keys,LOCAL,
114,2026-08-26 22:00,scan_secrets.py,Accept unquoted alphabetic secret values,INSTANCE,L5
115,2026-08-26 22:00,run_decoder_campaign.py,Enforce decoder timeouts on Windows,NEW-LAW,L12
116,2026-08-26 22:00,independent_review.py,Terminate inherited reviewer pipe holders,INSTANCE,L8
117,2026-08-26 22:00,scan_secrets.py,Bound TAR extended-header payloads before iteration,INSTANCE,L3
118,2026-08-26 22:00,scan_secrets.py,Detect archives by signature before binary classification,INSTANCE,L5
119,2026-08-26 22:00,independent_review.py,Detect duplicate JSON keys in linear time,INSTANCE,L3
120,2026-08-26 22:00,audit_tool_boundaries.py,Fail when tracked-file discovery fails,INSTANCE,L15
121,2026-08-26 22:20,run_malformed_differential.py,Bound each Python verifier invocation,INSTANCE,L3
122,2026-08-26 22:20,audit_dependencies.py,Fail closed on escaped dependency keys,LOCAL,
123,2026-08-26 22:20,scan_secrets.py,Probe archive magic before skipping binary suffixes,INSTANCE,L5
124,2026-08-26 22:20,independent_review.py,Reject non-standard JSON constants,INSTANCE,L4
125,2026-08-26 22:20,audit_tool_boundaries.py,Recognize f-string subprocess commands,INSTANCE,L18
126,2026-08-26 22:29,scan_secrets.py,Inspect compressed TAR magic under foreign suffixes,INSTANCE,L5
127,2026-08-26 22:29,audit_dependencies.py,Reject non-string TOML array elements in fallback,LOCAL,
128,2026-08-26 23:02,audit_dependencies.py,Recognize TOML multiline string delimiters,LOCAL,
129,2026-08-26 23:02,scan_secrets.py,Bound regular-file reads before materializing them,INSTANCE,L3
130,2026-08-26 23:02,scan_secrets.py,Detect prefixed ZIP archives before binary classification,INSTANCE,L5
131,2026-08-26 23:02,run_malformed_differential.py,Require each malformed witness to hit its intended law,INSTANCE,L11
132,2026-08-26 23:26,scan_secrets.py,Decompress TARs before probing them with tarfile,INSTANCE,L3
133,2026-08-26 23:26,run_decoder_campaign.py,Reclassify Q8 read failures as campaign failures,INSTANCE,L10
134,2026-08-26 23:26,scan_secrets.py,Decode BOM-marked Unicode text before the NUL check,INSTANCE,L5
135,2026-08-26 23:26,run_decoder_campaign.py,Terminate the C campaign's descendant processes,INSTANCE,L8
136,2026-08-26 23:26,audit_tool_boundaries.py,Bound Python source size before reading it,INSTANCE,L3
137,2026-08-26 23:26,run_malformed_differential.py,Bound compiled-verifier output while it runs,INSTANCE,L8
138,2026-08-26 23:44,scan_secrets.py,Limit the XZ decoder's dictionary memory,INSTANCE,L3
139,2026-08-26 23:44,run_decoder_campaign.py,Bound the C campaign's captured output,INSTANCE,L8
140,2026-08-26 23:44,audit_dependencies.py,Add a timeout to the advisory audit,INSTANCE,L8
141,2026-08-26 23:44,audit_dependencies.py,Bound pyproject ingestion before parsing,INSTANCE,L3
142,2026-08-27 13:34,scan_secrets.py,Probe legacy TARs before binary classification,INSTANCE,L5
143,2026-08-27 13:34,audit_dependencies.py,Bound pip-audit output while it runs,INSTANCE,L8
144,2026-08-27 13:34,scan_secrets.py,Bound the opt-in gitleaks invocation,INSTANCE,L8
145,2026-08-27 13:34,scan_secrets.py,Recognize temporary AWS access key IDs,INSTANCE,L5
146,2026-08-27 13:34,scan_secrets.py,Scan colon-delimited secret mappings,INSTANCE,L5
147,2026-08-27 13:34,scan_secrets.py,Scan the committed text of tracked symlinks,INSTANCE,L5
148,2026-08-27 13:34,audit_dependencies.py,Include dependency groups in the asserted inventory,INSTANCE,L4
149,2026-08-27 13:58,audit_dependencies.py,Reject inline dependency-group tables in the fallback,LOCAL,
150,2026-08-27 13:58,scan_secrets.py,Match unquoted separator-delimited passphrases,INSTANCE,L5
151,2026-08-27 13:58,audit_tool_boundaries.py,Audit Python suffixes without case sensitivity,INSTANCE,L12
152,2026-08-27 17:31,audit_dependencies.py,Decode escapes before inspecting inline tables,LOCAL,
153,2026-08-27 17:31,audit_dependencies.py,Return a structured failure for scalar dependency fields,INSTANCE,L4
154,2026-08-27 17:31,independent_review.py,Terminate reviewer descendants on Windows,INSTANCE,L8
155,2026-08-27 17:31,scan_secrets.py,Scan credential-shaped tracked filenames,INSTANCE,L5
156,2026-08-27 17:46,audit_dependencies.py,Validate dependency table shapes before use,INSTANCE,L4
157,2026-08-27 17:46,scan_secrets.py,Redact credential-shaped names from binary metadata,NEW-LAW,L7
158,2026-08-27 18:09,scan_secrets.py,Redact secret-bearing parent path components,INSTANCE,L7
159,2026-08-27 18:09,run_malformed_differential.py,Terminate compiled-verifier descendants,INSTANCE,L8
160,2026-08-27 18:09,run-eval.py,Restore the training corpus's independent schema wording,NEW-LAW,L16
161,2026-08-28 10:03,run_malformed_differential.py,Verify that each Python witness hits its intended law,INSTANCE,L11
162,2026-08-28 10:03,scan_secrets.py,Bound LZMA memory for ZIP symlink targets,INSTANCE,L3
163,2026-08-28 10:03,audit_dependencies.py,Reject symlinked pyproject inputs before reading,INSTANCE,L3
164,2026-08-28 10:28,audit_dependencies.py,Reject malformed lines in the fallback parser,LOCAL,
165,2026-08-28 10:28,scan_secrets.py,Redact credentials in non-UTF-8 filenames,INSTANCE,L7
166,2026-08-28 10:28,audit_tool_boundaries.py,Limit generated-directory skips to their actual roots,INSTANCE,L15
167,2026-08-28 10:28,run_malformed_differential.py,Search the checked-in debug build directory for bcir-opt,INSTANCE,L13
168,2026-08-28 10:28,run_decoder_campaign.py,Honor CLANG when detecting the configured fuzzer toolchain,INSTANCE,L13
169,2026-08-28 10:28,run_decoder_campaign.py,Report uncaught IndexError from decoders as a finding,INSTANCE,L9
170,2026-08-28 11:15,audit_dependencies.py,Reject dependency-group array tables in the fallback,LOCAL,
171,2026-08-28 11:15,audit_dependencies.py,Qualify fallback scalar keys with their section,LOCAL,
172,2026-08-28 11:15,scan_secrets.py,Scan BOM-less UTF-16 text before classifying it as binary,INSTANCE,L5
173,2026-08-28 11:15,scan_secrets.py,Scan archive path metadata for credentials,INSTANCE,L5
174,2026-08-28 12:39,audit_dependencies.py,Reject duplicate dependency keys in the fallback,LOCAL,
175,2026-08-28 12:39,audit_dependencies.py,Reject dependency fields declared as section tables,LOCAL,
176,2026-08-28 12:39,run_decoder_campaign.py,Keep decoder timeout exceptions out of rejection handlers,INSTANCE,L9
177,2026-08-28 12:39,scan_secrets.py,Scan multiline secret mappings,INSTANCE,L5
178,2026-08-28 13:05,audit_dependencies.py,Reject nested dependency arrays in the fallback,LOCAL,
179,2026-08-28 13:05,audit_dependencies.py,Reject duplicate table headers in the fallback,LOCAL,
180,2026-08-28 13:05,scan_secrets.py,Encode non-UTF-8 archive paths before fingerprinting,INSTANCE,L7
181,2026-08-28 13:05,audit_tool_boundaries.py,Sanitize non-UTF-8 paths before printing findings,INSTANCE,L7
182,2026-08-28 13:05,scan_secrets.py,Decode escaped credential keys before scanning JSON,INSTANCE,L5
183,2026-08-28 14:54,scan_secrets.py,Scan TOML multiline assignment values,INSTANCE,L5
184,2026-08-28 14:54,scan_secrets.py,Decode BOM-less UTF-16 without relying on NUL density,INSTANCE,L5
185,2026-08-28 14:54,scan_secrets.py,Scan staged blobs rather than unstaged worktree copies,INSTANCE,L15
186,2026-08-28 14:54,run_decoder_campaign.py,Convert seed-construction failures into campaign verdicts,INSTANCE,L1
187,2026-08-28 14:54,scan_secrets.py,Make the assignment-secret matcher linear-time,INSTANCE,L3
188,2026-08-28 21:12,scan_secrets.py,Scan single-line TOML multiline strings,INSTANCE,L5
189,2026-08-28 21:12,scan_secrets.py,Include index-flagged paths in staged-blob scanning,INSTANCE,L15
190,2026-08-28 21:12,scan_secrets.py,Bound staged blobs before materializing them,INSTANCE,L3
191,2026-08-28 21:12,scan_secrets.py,Avoid splitting UTF-16 surrogate pairs in the probe,INSTANCE,L5
192,2026-09-02 11:57,scan_secrets.py,Cap concatenated XZ streams before reprocessing the tail,INSTANCE,L3
193,2026-09-02 11:57,scan_secrets.py,Recognize escaped TOML multiline delimiters,INSTANCE,L5
194,2026-09-02 11:57,run_all.py,Keep the registered suite runnable after package installation,NEW-LAW,L21
195,2026-09-02 11:57,audit_tool_boundaries.py,Audit the staged Python blob instead of only the worktree,INSTANCE,L15
196,2026-09-02 12:39,run_all.py,Skip tests that need repository-only runtime assets,INSTANCE,L21
197,2026-09-02 12:39,run_malformed_differential.py,Resolve BCIR_OPT command names through PATH,INSTANCE,L13
198,2026-09-02 12:39,scan_secrets.py,Decode YAML hex escapes before scanning credential keys,INSTANCE,L5
199,2026-09-02 12:39,scan_secrets.py,Return a verdict when tracked-file discovery fails,INSTANCE,L1
200,2026-09-02 12:39,pyproject.toml,Test the newly advertised Python 3.11 floor,INSTANCE,L2
201,2026-09-02 15:53,audit_tool_boundaries.py,Respect staged symlink modes before parsing Python,INSTANCE,L12
202,2026-09-02 15:53,audit_dependencies.py,Convert invalid expected inventories into failing reports,INSTANCE,L1
203,2026-09-02 15:53,scan_secrets.py,Scan JSON values wrapped onto following lines,INSTANCE,L5
204,2026-09-02 15:53,audit_tool_boundaries.py,Enforce the source cap while reading worktree files,INSTANCE,L3
205,2026-09-02 15:53,audit_dependencies.py,Audit staged dependency metadata before passing,INSTANCE,L15
206,2026-09-02 18:09,scan_secrets.py,Enforce the cap while reading worktree files,INSTANCE,L3
207,2026-09-02 18:09,audit_dependencies.py,Require expected-inventory fields to be present,INSTANCE,L1
208,2026-09-02 18:09,scan_secrets.py,Normalize escaped keys before wrapped-value matching,INSTANCE,L5
209,2026-09-02 18:09,scan_secrets.py,Accept dotted keys in the TOML multiline collector,INSTANCE,L5
210,2026-09-02 18:09,run_all.py,Classify C-runtime tests that need unshipped sources,INSTANCE,L21
211,2026-09-02 18:09,run_malformed_differential.py,Convert differential setup failures into a verdict,INSTANCE,L1
212,2026-09-02 18:52,scan_secrets.py,Detect BOM-less UTF-32 before the binary fallback,INSTANCE,L5
213,2026-09-02 18:52,scan_secrets.py,Accept quoted segments in dotted TOML keys,INSTANCE,L5
214,2026-09-02 18:52,scan_secrets.py,Handle staged symlinks before classifying their blobs,INSTANCE,L12
215,2026-09-02 18:52,audit_dependencies.py,Redact credentials from dependency audit reports,INSTANCE,L7
216,2026-09-02 18:52,audit_dependencies.py,Bound the expected inventory before reading it,INSTANCE,L3
217,2026-09-02 18:52,scan_secrets.py,Convert staged archive spool failures into findings,INSTANCE,L1
218,2026-09-02 18:52,run_malformed_differential.py,Convert malformed verifier results into disagreements,INSTANCE,L1
